email,expertLabel,timestamp,which_phase,strategy,strategyLabel,strategyType,strategyGroup,exclude,range,lo,hi,comments_lo,comments_hi
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:37:26Z,2,tele_conversion-adult_surgical,Telephone appointments (adult non-surgical),outpatient delivery mode,Planned medical activity (adult),0,7,4,11,Tested with limited impact during covid,
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:37:17Z,2,preop_los,Elective spells with overnight stay before surgery,length of stay reduction,Planned surgical activity (adult),0,9,56,65,Will not be possible to reduce to 0.,
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:35:12Z,2,cancelled_operations,Cancelled operations,inpatient admission avoidance,Planned surgical activity (adult),0,12,19,31,,
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:35:01Z,2,bads_outpatients_or_daycase,Elective surgery - recommended mainly outpatient procedure or day case,length of stay reduction,Planned surgical activity (adult),0,17,61,78,"I think the question/data is unclear. Please disregard. Currently admission and daycase, and future daycase and outpatient?",
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:35:35Z,2,enhanced_recovery_bladder,Enhanced recovery (bladder surgery),length of stay reduction,Planned surgical activity (adult),0,17,15,32,Robotic shift has already happened.,
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:36:06Z,2,enhanced_recovery_hysterectomy,Enhanced recovery (hysterectomy),length of stay reduction,Planned surgical activity (adult),0,18,9,27,Limited progress,
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:35:23Z,2,consultant_to_consultant_referrals-adult_surgical,Consultant to consultant referrals (adult non-surgical),outpatient attendance avoidance,Planned medical activity (adult),0,19,0,19,Primary care resistant to doing onward referrals,
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:32:42Z,2,bads_daycase_occasional,Elective surgery - recommended occasional day case,length of stay reduction,Planned surgical activity (adult),0,23,42,65,,Significant scope for surgical/anaesthetic technique improvement and technological advancement.
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:36:33Z,2,enhanced_recovery_rectum,Enhanced recovery (rectal surgery),length of stay reduction,Planned surgical activity (adult),0,25,9,34,,
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:35:41Z,2,enhanced_recovery_breast,Enhanced recovery (breast surgery),length of stay reduction,Planned surgical activity (adult),0,28,44,72,LOS already low,
/ua6CVUZDbx947YulVXl8Dm5IEm9O0HuRFbW43OcAyk=,e06,2023-11-06T16:37:10Z,2,followup_reduction-adult_surgical,Follow-up attendances (adult non-surgical),outpatient attendance avoidance,Planned medical activity (adult),0,29,10,39,,
