strategy,strategyLabel,strategyType,strategyGroup
alcohol_wholly_attributable,Alcohol related admissions (wholly attributable),inpatient admission avoidance,Hospital activity amenable to public health interventions
alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),inpatient admission avoidance,Hospital activity amenable to public health interventions
alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),inpatient admission avoidance,Hospital activity amenable to public health interventions
obesity_related_admissions,Obesity related admissions,inpatient admission avoidance,Hospital activity amenable to public health interventions
smoking,Smoking related admissions,inpatient admission avoidance,Hospital activity amenable to public health interventions
falls_related_admissions,Falls related admissions,inpatient admission avoidance,Hospital activity amenable to public health interventions
ambulatory_care_conditions_acute,Ambulatory care sensitive admissions (acute conditions),inpatient admission avoidance,Hospital activity ameanable to primary care and community interventions
ambulatory_care_conditions_chronic,Ambulatory care sensitive admissions (chronic conditions),inpatient admission avoidance,Hospital activity ameanable to primary care and community interventions
ambulatory_care_conditions_vaccine_preventable,Ambulatory care sensitive admissions (vaccine preventable conditions),inpatient admission avoidance,Hospital activity ameanable to primary care and community interventions
readmission_within_28_days,Emergency readmissions within 28 days,inpatient admission avoidance,Hospital activity ameanable to primary care and community interventions
zero_los_no_procedure-adult,Admission with no overnight stay and no procedure (adults),inpatient admission avoidance,Hospital activity ameanable to primary care and community interventions
zero_los_no_procedure-child,Admission with no overnight stay and no procedure (children),inpatient admission avoidance,Hospital activity ameanable to primary care and community interventions
medically_unexplained_related_admissions,Medically unexplained symptoms admissions,inpatient admission avoidance,Hospital activity ameanable to psychiatric liaison and community psychiatry
raid_ae,Mental health admissions via ED,inpatient admission avoidance,Hospital activity ameanable to psychiatric liaison and community psychiatry
intentional_self_harm,Intentional self-harm admission,inpatient admission avoidance,Hospital activity ameanable to psychiatric liaison and community psychiatry
eol_care-0-2_days,End of life care admissions (died within 2 days),inpatient admission avoidance,Hospital activity ameanable to primary care and community interventions
eol_care-3+_days,End of life care admissions (died within 3-14 days),inpatient admission avoidance,Hospital activity ameanable to primary care and community interventions
frail_elderly-high,Frail elderly admissions (high frailty risk),inpatient admission avoidance,Hospital activity ameanable to primary care and community interventions
frail_elderly-intermediate,Frail elderly admissions (intermediate frailty risk),inpatient admission avoidance,Hospital activity ameanable to primary care and community interventions
medicines_related_admissions_explicit,Medicines related admissions (explicit),inpatient admission avoidance,Hospital activity ameanable to medicines management
medicines_related_admissions_implicit_anti_diabetics,Medicines related admissions (implicit - anti-diabetics),inpatient admission avoidance,Hospital activity ameanable to medicines management
medicines_related_admissions_implicit_benzodiasepines,Medicines related admissions (implicit - benzodiazepines),inpatient admission avoidance,Hospital activity ameanable to medicines management
medicines_related_admissions_implicit_diurectics,Medicines related admissions (implicit - diuretics),inpatient admission avoidance,Hospital activity ameanable to medicines management
medicines_related_admissions_implicit_nsaids,Medicines related admissions (implicit - NSAIDS),inpatient admission avoidance,Hospital activity ameanable to medicines management
evidence_based_interventions_ent,Interventions with limited evidence - ENT,inpatient admission avoidance,Planned surgical activity (adult)
evidence_based_interventions_general_surgery,Interventions with limited evidence - General surgery,inpatient admission avoidance,Planned surgical activity (adult)
evidence_based_interventions_gi_surgical,Interventions with limited evidence - GI surgery,inpatient admission avoidance,Planned surgical activity (adult)
evidence_based_interventions_msk,Interventions with limited evidence - MSK,inpatient admission avoidance,Planned surgical activity (adult)
evidence_based_interventions_urology,Interventions with limited evidence - Urology,inpatient admission avoidance,Planned surgical activity (adult)
evidence_based_interventions_vasuclar_varicose_veins,Interventions with limited evidence - Vascular,inpatient admission avoidance,Planned surgical activity (adult)
cancelled_operations,Cancelled operations,inpatient admission avoidance,Planned surgical activity (adult)
emergency_elderly,Emergency admissions of older people,length of stay reduction,Hospital activity ameanable to primary care and community interventions
stroke_early_supported_discharge,Stroke early supported discharge,length of stay reduction,Hospital activity ameanable to primary care and community interventions
excess_beddays_elective,Excess beds days (elective admissions),length of stay reduction,Hospital activity ameanable to primary care and community interventions
