"activity_subset","percentile","value","strategy","strategyLabel","strategyGroup","strategyType"
NA,0,0.000358389476146748,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.01,0.403865436935337,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.02,0.719173255311186,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.03,1.00337536320857,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.04,1.25520770067895,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.05,1.49429982137182,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.06,1.71394809532553,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.07,1.91476391953926,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.08,2.10702427661804,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.09,2.29447923048609,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.1,2.47738092846283,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.11,2.66243197216195,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.12,2.8374841482649,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.13,3.00608012021092,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.14,3.17808771537527,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.15,3.34547608251493,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.16,3.50852476330645,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.17,3.67502780287767,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.18,3.83756397269688,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.19,4.01321890850724,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.2,4.17804751765587,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.21,4.3546892580081,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.22,4.52270402803089,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.23,4.68873213388902,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.24,4.8556674078617,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.25,5.03341924636754,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.26,5.19606008256186,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.27,5.37014720454856,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.28,5.52860712932097,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.29,5.70298317858764,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.3,5.87181558734072,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.31,6.04254912365591,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.32,6.21327740491413,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.33,6.38271099191768,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.34,6.54869245178263,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.35,6.72225905845177,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.36,6.90230431520288,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.37,7.08578247241666,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.38,7.26786962298103,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.39,7.45046930897668,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.4,7.64334916182349,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.41,7.85626851882946,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.42,8.06887710828638,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.43,8.3019388447073,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.44,8.52800332893008,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.45,8.75645853156904,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.46,9.00982567280084,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.47,9.2842111750956,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.48,9.59841543414168,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.49,9.93689384793057,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.5,10.3363016863901,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.51,10.797084584363,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.52,11.441278898902,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.53,12.3051383012565,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.54,13.5190425416351,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.55,15.1479785638606,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.56,16.7412622708396,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.57,18.2323838032659,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.58,19.666918000843,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.59,20.9748623415954,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.6,22.1570706258703,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.61,23.4145345611569,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.62,24.5995054079479,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.63,25.7895838075016,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.64,26.9831405027462,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
NA,0.65,28.0853435694488,"alcohol_partially_attributable-acute","Alcohol related admissions (acute conditions - partially attributable)","Hospital activity amenable to public health interventions","inpatient admission avoidance"
